id,need_id,observation_type,as_stated,amount_low_usd,amount_high_usd,fiscal_year,period,evidence_id
fund:lrae_navwar_2024-06:k:69cd6474df57,need:lrae_navwar_2024-06:k:69cd6474df57,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q4,ev:lrae_navwar_2024-06:row9
fund:lrae_navwar_2024-06:k:4dafe38dd3f8,need:lrae_navwar_2024-06:k:4dafe38dd3f8,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2024-06:row11
fund:lrae_navwar_2024-06:k:32c2012637eb,need:lrae_navwar_2024-06:k:32c2012637eb,procurement_estimate,$2M - $7.5M,2000000,7500000,FY24,Q4,ev:lrae_navwar_2024-06:row12
fund:lrae_navwar_2024-06:k:56701d2778bf,need:lrae_navwar_2024-06:k:56701d2778bf,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q4,ev:lrae_navwar_2024-06:row13
fund:lrae_navwar_2024-06:k:4a65a57736d1,need:lrae_navwar_2024-06:k:4a65a57736d1,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q1,ev:lrae_navwar_2024-06:row14
fund:lrae_navwar_2024-06:k:f6d0582f2520,need:lrae_navwar_2024-06:k:f6d0582f2520,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q1,ev:lrae_navwar_2024-06:row15
fund:lrae_navwar_2024-06:k:5de9e61f8195,need:lrae_navwar_2024-06:k:5de9e61f8195,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q2,ev:lrae_navwar_2024-06:row16
fund:lrae_navwar_2024-06:k:d6ba4152bc69,need:lrae_navwar_2024-06:k:d6ba4152bc69,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q3,ev:lrae_navwar_2024-06:row17
fund:lrae_navwar_2024-06:k:4a89bfc831b9,need:lrae_navwar_2024-06:k:4a89bfc831b9,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q4,ev:lrae_navwar_2024-06:row18
fund:lrae_navwar_2024-06:k:fed1004fce03,need:lrae_navwar_2024-06:k:fed1004fce03,procurement_estimate,$2M - $7.5M,2000000,7500000,FY26,Q1,ev:lrae_navwar_2024-06:row19
fund:lrae_navwar_2024-06:k:2be1c455a1d0,need:lrae_navwar_2024-06:k:2be1c455a1d0,procurement_estimate,$2M - $7.5M,2000000,7500000,FY26,Q2,ev:lrae_navwar_2024-06:row20
fund:lrae_navwar_2024-06:k:35bde6be82c7,need:lrae_navwar_2024-06:k:35bde6be82c7,procurement_estimate,$2M - $7.5M,2000000,7500000,FY26,Q3,ev:lrae_navwar_2024-06:row21
fund:lrae_navwar_2024-06:k:824356f352e5,need:lrae_navwar_2024-06:k:824356f352e5,procurement_estimate,$2M - $7.5M,2000000,7500000,FY26,Q4,ev:lrae_navwar_2024-06:row22
fund:lrae_navwar_2024-06:k:1c423c9fc153,need:lrae_navwar_2024-06:k:1c423c9fc153,procurement_estimate,$2M - $7.5M,2000000,7500000,FY27,Q2,ev:lrae_navwar_2024-06:row23
fund:lrae_navwar_2024-06:k:c8b590e4e7ad,need:lrae_navwar_2024-06:k:c8b590e4e7ad,procurement_estimate,$2M - $7.5M,2000000,7500000,FY27,Q3,ev:lrae_navwar_2024-06:row24
fund:lrae_navwar_2024-06:k:8ed23773fc1c,need:lrae_navwar_2024-06:k:8ed23773fc1c,procurement_estimate,$2M - $7.5M,2000000,7500000,FY28,Q1,ev:lrae_navwar_2024-06:row25
fund:lrae_navwar_2024-06:k:a53a8ad22899,need:lrae_navwar_2024-06:k:a53a8ad22899,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q4,ev:lrae_navwar_2024-06:row26
fund:lrae_navwar_2024-06:k:a4a14cec0a56,need:lrae_navwar_2024-06:k:a4a14cec0a56,procurement_estimate,$50M - $100M,50000000,100000000,FY24,Q4,ev:lrae_navwar_2024-06:row27
fund:lrae_navwar_2024-06:k:758da1041e01,need:lrae_navwar_2024-06:k:758da1041e01,procurement_estimate,$7.5M - $50M,7500000,50000000,FY28,Q2,ev:lrae_navwar_2024-06:row28
fund:lrae_navwar_2024-06:k:e8f0f54def21,need:lrae_navwar_2024-06:k:e8f0f54def21,procurement_estimate,$50M - $100M,50000000,100000000,FY26,Q2,ev:lrae_navwar_2024-06:row29
fund:lrae_navwar_2024-06:k:a1be893c133f,need:lrae_navwar_2024-06:k:a1be893c133f,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q4,ev:lrae_navwar_2024-06:row30
fund:lrae_navwar_2024-06:k:b944ee7d2698,need:lrae_navwar_2024-06:k:b944ee7d2698,procurement_estimate,< $2M,0,2000000,FY27,Q2,ev:lrae_navwar_2024-06:row33
fund:lrae_navwar_2024-06:k:dab3df033d12,need:lrae_navwar_2024-06:k:dab3df033d12,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q2,ev:lrae_navwar_2024-06:row35
