id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0005,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0005,lrae_navwar_2023-06,Award new MIDS Front Office contract,Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,,,FY27,Q2,60,541330 - Engineering Services,R408 - Program Management/Support Services,"San Diego, CA",ev:lrae_navwar_2023-06:row28
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0017,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0017,lrae_navwar_2023-06,"Follow-on contract for the procurement of MIDS-LVT terminals, spares, FMS, engineering Services, BU2 Retrofit Kits, and BU2 Retrofit Services.",,TBD,TBD,,,FY25,Q3,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row29
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0018,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0018,lrae_navwar_2023-06,LCM production and SE&I,,TBD,TBD,,,FY25,Q3,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2023-06:row30
req:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0017,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0017,lrae_navwar_2023-06,Procure MOS Mod SCAs,,Fixed-Price,BPA Call,FY23,Q1,FY23,Q3,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5825 - RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2023-06:row156
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0011,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0011,lrae_navwar_2023-06,MOS Mod cabinets and spares,,TBD,TBD,,,FY24,Q2,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5825 - RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2023-06:row157
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0016,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0016,lrae_navwar_2023-06,Issue first call of C2P BPA,,TBD,Delivery Order/Task Order,,,FY23,Q1,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row158
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0026,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0026,lrae_navwar_2023-06,Follow-on to current JPI A8 card update contract.,,Fixed-Price,Purchase Order,FY23,Q3,FY23,Q4,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row159
req:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0035,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0035,lrae_navwar_2023-06,"New contract for JPI Reflash, Repair, and Reconfiguration.",,Fixed-Price,TBD,FY23,Q3,FY23,Q4,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row160
req:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0019,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0019,lrae_navwar_2023-06,To repair MOS TC CPUs,,Fixed-Price,Purchase Order,FY23,Q2,FY23,Q4,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5825 - RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2023-06:row161
req:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0013,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0013,lrae_navwar_2023-06,Upgrade A3 cards for frequency remapping,,Fixed-Price,Purchase Order,FY23,Q3,FY24,Q1,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2023-06:row162
