id,need_id,observation_type,as_stated,amount_low_usd,amount_high_usd,fiscal_year,period,evidence_id
fund:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-740-0070,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-740-0070,procurement_estimate,$100M - $250M,100000000,250000000,FY26,Q2,ev:lrae_navwar_2025-06:row10
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0052,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0052,procurement_estimate,No Range Specified,,,FY26,Q1,ev:lrae_navwar_2025-06:row14
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0053,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0053,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row15
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-160-0001,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-160-0001,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q3,ev:lrae_navwar_2025-06:row16
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0061,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0061,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q3,ev:lrae_navwar_2025-06:row17
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0011,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0011,procurement_estimate,$100M - $250M,100000000,250000000,FY26,Q4,ev:lrae_navwar_2025-06:row18
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0170,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0170,procurement_estimate,< $2M,0,2000000,FY26,Q2,ev:lrae_navwar_2025-06:row19
fund:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002,need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row97
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0013,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0013,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row98
fund:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021,need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021,procurement_estimate,> $1B+,1000000000,,FY26,Q1,ev:lrae_navwar_2025-06:row99
fund:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0155,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0155,procurement_estimate,$250M - $1B,250000000,1000000000,FY26,Q4,ev:lrae_navwar_2025-06:row100
fund:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0173,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0173,procurement_estimate,$250M - $1B,250000000,1000000000,FY27,Q2,ev:lrae_navwar_2025-06:row101
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0001,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0001,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q3,ev:lrae_navwar_2025-06:row103
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0002,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0002,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q3,ev:lrae_navwar_2025-06:row104
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0003,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0003,procurement_estimate,$7.5M - $50M,7500000,50000000,FY26,Q1,ev:lrae_navwar_2025-06:row105
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001,procurement_estimate,$100M - $250M,100000000,250000000,FY26,Q2,ev:lrae_navwar_2025-06:row106
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0001,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0001,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q3,ev:lrae_navwar_2025-06:row107
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0001,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0001,procurement_estimate,$250M - $1B,250000000,1000000000,FY27,Q2,ev:lrae_navwar_2025-06:row108
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0004,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0004,procurement_estimate,$250M - $1B,250000000,1000000000,FY26,Q2,ev:lrae_navwar_2025-06:row109
fund:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017,procurement_estimate,$250M - $1B,250000000,1000000000,FY25,Q3,ev:lrae_navwar_2025-06:row111
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0014,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0014,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q3,ev:lrae_navwar_2025-06:row112
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0006,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0006,procurement_estimate,$7.5M - $50M,7500000,50000000,FY26,Q1,ev:lrae_navwar_2025-06:row113
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0005,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0005,procurement_estimate,$50M - $100M,50000000,100000000,FY26,Q2,ev:lrae_navwar_2025-06:row114
fund:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0003,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0003,procurement_estimate,$7.5M - $50M,7500000,50000000,FY28,Q2,ev:lrae_navwar_2025-06:row115
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0008,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0008,procurement_estimate,$50M - $100M,50000000,100000000,FY26,Q4,ev:lrae_navwar_2025-06:row116
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0009,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0009,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q4,ev:lrae_navwar_2025-06:row117
fund:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0005,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0005,procurement_estimate,< $2M,0,2000000,FY27,Q2,ev:lrae_navwar_2025-06:row120
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0005,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0005,procurement_estimate,$7.5M - $50M,7500000,50000000,FY26,Q1,ev:lrae_navwar_2025-06:row121
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0055,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0055,procurement_estimate,$50M - $100M,50000000,100000000,FY26,Q2,ev:lrae_navwar_2025-06:row122
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0007,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0007,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q4,ev:lrae_navwar_2025-06:row123
fund:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0003,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0003,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row126
fund:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-160-0108,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-160-0108,procurement_estimate,$250M - $1B,250000000,1000000000,FY26,Q1,ev:lrae_navwar_2025-06:row127
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0002,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0002,procurement_estimate,$250M - $1B,250000000,1000000000,FY26,Q3,ev:lrae_navwar_2025-06:row128
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0015,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0015,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row133
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0067,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0067,procurement_estimate,$7.5M - $50M,7500000,50000000,FY27,Q2,ev:lrae_navwar_2025-06:row139
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0002,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-150-0002,procurement_estimate,$2M - $7.5M,2000000,7500000,FY26,Q1,ev:lrae_navwar_2025-06:row140
fund:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0005,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMW-740-0005,procurement_estimate,$100M - $250M,100000000,250000000,FY28,Q1,ev:lrae_navwar_2025-06:row141
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0068,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-160-0068,procurement_estimate,$50M - $100M,50000000,100000000,FY25,Q4,ev:lrae_navwar_2025-06:row142
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-C4IEXEC-0002,need:lrae_navwar_2025-06:N00039-24-RFPREQ-C4IEXEC-0002,procurement_estimate,$100M - $250M,100000000,250000000,FY26,Q4,ev:lrae_navwar_2025-06:row143
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0012,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0012,procurement_estimate,$250M - $1B,250000000,1000000000,FY25,Q4,ev:lrae_navwar_2025-06:row145
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0413,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0413,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row147
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0059,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0059,procurement_estimate,$7.5M - $50M,7500000,50000000,FY26,Q1,ev:lrae_navwar_2025-06:row148
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0061,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0061,procurement_estimate,< $2M,0,2000000,FY25,Q4,ev:lrae_navwar_2025-06:row149
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0052,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0052,procurement_estimate,No Range Specified,,,FY25,Q4,ev:lrae_navwar_2025-06:row153
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0055,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0055,procurement_estimate,No Range Specified,,,FY26,Q3,ev:lrae_navwar_2025-06:row156
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0115,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0115,procurement_estimate,< $2M,0,2000000,FY25,Q3,ev:lrae_navwar_2025-06:row159
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-150-0157,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-150-0157,procurement_estimate,$50M - $100M,50000000,100000000,FY26,Q4,ev:lrae_navwar_2025-06:row160
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0078,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0078,procurement_estimate,No Range Specified,,,FY25,Q4,ev:lrae_navwar_2025-06:row161
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0267,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0267,procurement_estimate,< $2M,0,2000000,FY25,Q3,ev:lrae_navwar_2025-06:row162
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0044,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0044,procurement_estimate,$7.5M - $50M,7500000,50000000,FY26,Q4,ev:lrae_navwar_2025-06:row163
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0068,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-760-0068,procurement_estimate,$2M - $7.5M,2000000,7500000,FY25,Q4,ev:lrae_navwar_2025-06:row165
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0543,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0543,procurement_estimate,No Range Specified,,,FY25,Q4,ev:lrae_navwar_2025-06:row166
fund:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0559,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0559,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q3,ev:lrae_navwar_2025-06:row167
fund:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0030,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0030,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q4,ev:lrae_navwar_2025-06:row168
