id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-740-0070,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW-740-0070,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,"""C"" Type Contract",FY25,Q3,FY26,Q2,36,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",5810 - COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2025-06:row10
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0052,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0052,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,"""C"" Type Contract",FY25,Q3,FY26,Q1,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2025-06:row14
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0053,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0053,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q1,FY25,Q4,TBD,541330 - Engineering Services,U008 - EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,"San Diego, CA",ev:lrae_navwar_2025-06:row15
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-160-0001,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-160-0001,lrae_navwar_2025-06,Final procurement in support of ADNS MAC prior to Period of Performance expiring,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row16
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0061,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0061,lrae_navwar_2025-06,N/A,Sole Source,Cost-Reimbursement,"""C"" Type Contract",TBD,TBD,FY25,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row17
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0011,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0011,lrae_navwar_2025-06,,Full and Open Competition,Fixed-Price,"""C"" Type Contract",FY25,Q4,FY26,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5820 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2025-06:row18
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0170,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0170,lrae_navwar_2025-06,,TBD,Cost-Reimbursement,Other Transaction Authority,FY25,Q2,FY26,Q2,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5820 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2025-06:row19
req:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002,need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002,lrae_navwar_2025-06,"CBSP Engineering Services and Sustainment for currently fielded CBSP ULV and FLV terminal systems, to include future tech refresh and modifications",Sole Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q2,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row97
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0013,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0013,lrae_navwar_2025-06,,Sole Source,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q3,FY25,Q4,16,517410 - Satellite Telecommunications,"7G22 - IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)","San Diego, CA",ev:lrae_navwar_2025-06:row98
req:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021,need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021,lrae_navwar_2025-06,,Sole Source,TBD,"""C"" Type Contract",FY24,Q1,FY26,Q1,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5985 - ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row99
req:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0155,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0155,lrae_navwar_2025-06,,Sole Source,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q3,FY26,Q4,60,517410 - Satellite Telecommunications,"7G22 - IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)","San Diego, CA",ev:lrae_navwar_2025-06:row100
req:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0173,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMW/A-170-0173,lrae_navwar_2025-06,,Full and Open Competition,TBD,Single-Award Indefinite-Delivery,FY26,Q2,FY27,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row101
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0001,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0001,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q2,FY25,Q3,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row103
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0002,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0002,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q3,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row104
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0003,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-750-0003,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q3,FY26,Q1,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2025-06:row105
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001,lrae_navwar_2025-06,Professional Support Services (PSS) for PMW 120,TBD,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q4,FY26,Q2,60,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2025-06:row106
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0001,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0001,lrae_navwar_2025-06,,Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q3,TBD,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2025-06:row107
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0001,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0001,lrae_navwar_2025-06,,Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY26,Q2,FY27,Q2,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row108
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0004,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0004,lrae_navwar_2025-06,,Full and Open Competition,Fixed-Price,TBD,FY25,Q3,FY26,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row109
req:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017,lrae_navwar_2025-06,,Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q3,FY25,Q3,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2025-06:row111
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0014,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW/A-170-0014,lrae_navwar_2025-06,,Sole Source,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q2,FY25,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7G20 - IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2025-06:row112
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0006,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0006,lrae_navwar_2025-06,,Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY26,Q1,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2025-06:row113
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0005,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-740-0005,lrae_navwar_2025-06,Taipei Economic and Cultural Representative Office (TECRO) Integration and Installation Support,Full and Open Competition,Cost-Reimbursement,"""C"" Type Contract",FY25,Q4,FY26,Q2,TBD,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row114
req:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0003,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0003,lrae_navwar_2025-06,,Small Business Set-Aside,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY28,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2025-06:row115
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0008,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0008,lrae_navwar_2025-06,LBUCS Receive Version 2 software defined radio development (SDR) and integration with existing end-cryptographic unit (ECU). Production option for SDR production and build-to-print of ECU.,TBD,Fixed-Price,Single-Award Indefinite-Delivery,FY26,Q1,FY26,Q4,TBD,541511 - Custom Computer Programming Services,5810 - COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2025-06:row116
req:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0009,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-770-0009,lrae_navwar_2025-06,,TBD,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q2,FY25,Q4,66,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2025-06:row117
req:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0005,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0005,lrae_navwar_2025-06,,Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY27,Q2,TBD,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2025-06:row120
req:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0005,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-740-0005,lrae_navwar_2025-06,,Full and Open Competition,TBD,TBD,TBD,TBD,FY26,Q1,TBD,TBD - TBD,,"San Diego, CA",ev:lrae_navwar_2025-06:row121
